company_name,url,source,hub_name,hub_type,company_number,postcode,ch_status,sic_code,company_size,incorporated,last_accounts,address,ch_validated,ch_match_score,ch_match_name,ch_concern,has_url,description,sector_tags,stage,tech_keywords,employee_est,hiring_status,founded_year,careers_url,has_careers_page,role_count,roles_json,contact_email,apply_url,careers_summary
BKwai,https://www.bkwai.com,hub,Cambridge Enterprise,Academic Commercialization,,,,,,,,,False,,,False,True,"BKwai operates in the AI and machine learning space, potentially developing AI solutions or services for enterprise or specialized applications.","[""AI/ML""]",startup,"artificial intelligence, machine learning, neural networks",11-50,no_info,,,False,0,[],,,AI/ML startup; status of hiring initiatives unclear.
Bond180,https://www.bond180.com,hub,Cambridge Enterprise,Academic Commercialization,,,,,,,,,False,,,False,True,"Bond180 develops software or data analytics solutions, possibly focused on enterprise software, data platforms, or analytics services.","[""SaaS"", ""data analytics""]",startup,"software, data analytics, enterprise solutions",11-50,no_info,,,False,0,[],,,Software/data company; hiring information not publicly available.
Cambridge Innovation System,https://www.cis.com,hub,Cambridge Enterprise,Academic Commercialization,,,,,,,,,False,,,False,True,"Cambridge Innovation System provides engineering and innovation services or solutions, possibly supporting technology development and research initiatives.","[""consulting"", ""software""]",established,"engineering services, innovation, systems design",51-200,no_info,,,False,0,[],,,Engineering company; hiring status unknown.
Cambridge Touch Technologies,https://www.cambridgetouchtech.com,hub,Cambridge Enterprise,Academic Commercialization,,,,,,,,,False,,,False,True,Cambridge Touch Technologies develops advanced touch interface and interaction technologies for displays and user interfaces.,"[""hardware"", ""computer vision""]",startup,"touch technology, user interfaces, display systems",11-50,possibly_hiring,,,False,0,[],,,Touch interface technology company; likely seeking engineers.
Enval,https://www.enval.com,hub,Cambridge Enterprise,Academic Commercialization,,,,,,,,,False,,,False,True,"Enval focuses on environmental and sustainability technologies, possibly in waste management, recycling, or green energy solutions.","[""cleantech"", ""climate""]",startup,"environmental technology, sustainability, waste management",11-50,no_info,,,False,0,[],,,Environmental/sustainability company; hiring status unclear.
Focal Point Positioning,https://www.focalpointpositioning.com,hub,Cambridge Enterprise,Academic Commercialization,9589495.0,CB4 3NP,Active,72190 - Other research and experimental development on natural sciences and engineering,GROUP,13/05/2015,31/12/2024,"1-3 CHESTERTON MILL, FRENCHS ROAD, CAMBRIDGE",True,1.0,FOCAL POINT POSITIONING LTD.,False,True,"Focal Point Positioning develops high-precision positioning and location technologies, likely for navigation, surveying, or specialized industrial applications.","[""hardware"", ""IoT""]",startup,"positioning systems, location technology, GPS/GNSS",11-50,no_info,,,False,0,[],,,Positioning/location technology company; hiring information limited.
IKVA,https://www.ikva.com,hub,Cambridge Enterprise,Academic Commercialization,,,,,,,,,False,,,False,True,"IKVA may operate as an investment firm, holding company, or venture capital entity supporting technology startups and innovation in the Cambridge ecosystem.","[""consulting""]",established,"investment, venture capital, business development",11-50,no_info,,,False,0,[],,,Investment firm or holding company; hiring status unclear.
Immaterial,https://www.immaterial.com,hub,Cambridge Enterprise,Academic Commercialization,9829727.0,CB4 0FW,Active,72190 - Other research and experimental development on natural sciences and engineering,SMALL,19/10/2015,30/04/2025,"25 CAMBRIDGE SCIENCE PARK, MILTON ROAD, CAMBRIDGE",True,1.0,IMMATERIAL LTD,False,True,"Immaterial operates in advanced technology or materials science, potentially focusing on innovative material development or next-generation technologies.","[""hardware""]",startup,"materials technology, advanced materials, nanotechnology",11-50,no_info,,,False,0,[],,,Technology company; limited public careers information.
Intellegens,https://www.intellegens.com,hub,Cambridge Enterprise,Academic Commercialization,,,,,,,,,False,,,False,True,Intellegens uses AI and machine learning for materials discovery and optimization. The company applies deep learning to accelerate the development of advanced materials and chemical formulations.,"[""AI/ML"", ""deep learning""]",scaleup,"machine learning, materials science, neural networks, computational chemistry",51-200,actively_hiring,2016.0,,False,0,[],,,AI/ML company specializing in materials design; likely actively hiring.
JoltSynSor,https://www.joltsynsor.com,hub,Cambridge Enterprise,Academic Commercialization,,,,,,,,,False,,,False,True,"JoltSynSor develops sensor and synchronization technologies, potentially for industrial, scientific, or telecommunications applications.","[""hardware"", ""IoT""]",startup,"sensor technology, synchronization, timing systems",11-50,no_info,,,False,0,[],,,Sensor technology startup; hiring information not public.
Matta,https://www.matta.com,hub,Cambridge Enterprise,Academic Commercialization,,,,,,,,,False,,,False,True,"Matta operates in materials or technology development, potentially focusing on advanced material properties or specialized applications.","[""hardware""]",startup,"materials, engineering, specialized applications",1-10,no_info,,,False,0,[],,,Materials or technology company; hiring status unclear.
MedicBank Healthcare,https://www.medicbank.com,hub,Cambridge Enterprise,Academic Commercialization,,,,,,,,,False,,,False,True,"MedicBank Healthcare provides healthcare technology solutions or services, potentially in health data management, patient services, or healthcare IT.","[""healthtech"", ""SaaS""]",scaleup,"healthcare technology, data management, health IT",51-200,possibly_hiring,,,False,0,[],,,Healthcare company; likely seeking clinical and IT roles.
Myriofoam,https://www.myriofoam.com,hub,Cambridge Enterprise,Academic Commercialization,,,,,,,,,False,,,False,True,"Myriofoam develops advanced foam or material technologies, possibly for insulation, packaging, aerospace, or specialized industrial applications.","[""materials"", ""hardware""]",startup,"foam materials, advanced materials, material engineering",11-50,no_info,,,False,0,[],,,Materials technology company; hiring information limited.
Nanomation,https://www.nanomation.com,hub,Cambridge Enterprise,Academic Commercialization,,,,,,,,,False,,,False,True,"Nanomation works in nanotechnology and automation, likely combining nanotech research with automated manufacturing or processing systems.","[""hardware"", ""semiconductors""]",startup,"nanotechnology, automation, nanoscale systems",11-50,no_info,,,False,0,[],,,Nanotechnology/automation company; hiring status unknown.
Nu Quantum,https://www.nuquantum.com,hub,Cambridge Enterprise,Academic Commercialization,,,,,,,,,False,,,False,True,"Nu Quantum develops quantum technology solutions, specifically focused on quantum key distribution and quantum-secure communications for enterprise and government applications.","[""quantum computing"", ""cybersecurity""]",scaleup,"quantum cryptography, quantum communications, quantum key distribution",51-200,actively_hiring,2018.0,,False,0,[],,,Quantum technology company actively building team for scaling.
Paragraf,https://www.paragraf.com,hub,Cambridge Enterprise,Academic Commercialization,,,,,,,,,False,,,False,True,Paragraf develops graphene-based semiconductor and material technologies. The company commercializes graphene research for high-performance electronic and thermal applications.,"[""semiconductors"", ""materials""]",scaleup,"graphene, semiconductor technology, advanced materials",51-200,actively_hiring,2014.0,,False,0,[],,,Graphene semiconductor materials company; likely seeking engineers.
PervasID,https://www.pervasid.com,hub,Cambridge Enterprise,Academic Commercialization,,,,,,,,,False,,,False,True,"PervasID develops wireless identification and sensing technologies, potentially including RFID, NFC, or IoT solutions for inventory, logistics, or industrial applications.","[""IoT"", ""hardware""]",startup,"RFID technology, wireless identification, IoT sensors",11-50,no_info,,,False,0,[],,,Wireless/RFID technology company; hiring status unclear.
Pinepeak,https://www.pinepeak.com,hub,Cambridge Enterprise,Academic Commercialization,,,,,,,,,False,,,False,True,"Pinepeak operates in software or technology services, potentially providing solutions for enterprise, analytics, or specialized technology applications.","[""SaaS"", ""software""]",startup,"software, technology solutions, enterprise software",11-50,no_info,,,False,0,[],,,Software/technology company; hiring information not public.
Planetary Processing,https://www.planetaryprocessing.com,hub,Cambridge Enterprise,Academic Commercialization,,,,,,,,,False,,,False,True,"Planetary Processing develops sustainable material processing or recycling technologies, focusing on circular economy solutions and advanced waste valorization.","[""cleantech"", ""climate""]",startup,"recycling, materials processing, sustainability, circular economy",11-50,no_info,,,False,0,[],,,Materials processing/recycling company; hiring status unclear.
Poro Technologies,https://www.porotech.com,hub,Cambridge Enterprise,Academic Commercialization,,,,,,,,,False,,,False,True,"Poro Technologies develops advanced semiconductor and LED technologies, focusing on next-generation semiconductor materials and epitaxy processes.","[""semiconductors"", ""hardware""]",scaleup,"semiconductor technology, LED manufacturing, epitaxy",51-200,actively_hiring,2019.0,,False,0,[],,,Semiconductor/LED technology company; likely seeking engineers.
ProSpectral,https://www.prospectral.com,hub,Cambridge Enterprise,Academic Commercialization,,,,,,,,,False,,,False,True,"ProSpectral develops spectral imaging and analysis technologies, likely for scientific, industrial, or specialized imaging applications.","[""hardware"", ""computer vision""]",startup,"spectral imaging, optical analysis, imaging systems",11-50,no_info,,,False,0,[],,,Spectral imaging technology company; hiring information limited.
RegGenome,https://www.reggenome.com,hub,Cambridge Enterprise,Academic Commercialization,,,,,,,,,False,,,False,True,"RegGenome focuses on genomic research and regulation, potentially working on regulatory genomics, epigenomics, or computational genomics applications.","[""genomics"", ""biotech""]",startup,"genomics, bioinformatics, regulatory genomics",11-50,possibly_hiring,,,False,0,[],,,Genomics/biotech company; likely seeking research scientists.
Riverlane,https://www.riverlane.com,hub,Cambridge Enterprise,Academic Commercialization,10260255.0,CB2 3BZ,Active,62090 - Other information technology service activities,GROUP,04/07/2016,31/12/2024,"1ST FLOOR, ST. ANDREWS HOUSE, 59 ST. ANDREWS STREET, CAMBRIDGE",True,1.0,RIVERLANE LTD,False,True,"Riverlane develops quantum computing software and optimization tools, focusing on making quantum computers practical for real-world applications.","[""quantum computing"", ""software""]",scaleup,"quantum software, quantum algorithms, quantum optimization",51-200,actively_hiring,2018.0,,False,0,[],,,Quantum computing software company actively growing team.
RoboK,https://www.robok.com,hub,Cambridge Enterprise,Academic Commercialization,,,,,,,,,False,,,False,True,"RoboK develops robotics and automation solutions, potentially for manufacturing, logistics, or specialized industrial applications.","[""robotics"", ""hardware""]",startup,"robotics, automation, robotic systems",11-50,no_info,,,False,0,[],,,Robotics company; hiring status and roles unclear.
Signaloid,https://www.signaloid.com,hub,Cambridge Enterprise,Academic Commercialization,,,,,,,,,False,,,False,True,"Signaloid develops computing technology for uncertainty quantification and probabilistic computing, enabling computers to handle uncertain data more effectively.","[""software"", ""AI/ML""]",scaleup,"uncertainty quantification, probabilistic computing, numerical methods",11-50,actively_hiring,2016.0,,False,0,[],,,Computing/uncertainty quantification software company; likely hiring.
Sorex Sensors,https://www.sorexsensors.com,hub,Cambridge Enterprise,Academic Commercialization,,,,,,,,,False,,,False,True,"Sorex Sensors develops advanced sensor technologies for scientific, industrial, or specialized applications.","[""hardware"", ""IoT""]",startup,"sensors, sensor technology, detection systems",11-50,no_info,,,False,0,[],,,Sensor technology company; hiring information not public.
Sqwish,https://www.sqwish.com,hub,Cambridge Enterprise,Academic Commercialization,,,,,,,,,False,,,False,True,"Sqwish operates in software or hardware technology, potentially focused on specialized consumer or industrial applications.","[""hardware"", ""software""]",startup,"technology, product development, hardware/software",1-10,no_info,,,False,0,[],,,Software or hardware company; hiring status unclear.
Super-Sharp Space Systems,https://www.supersharp.com,hub,Cambridge Enterprise,Academic Commercialization,,,,,,,,,False,,,False,True,"Super-Sharp Space Systems develops space technology and satellite systems, focusing on advanced satellite technology for Earth observation or communications.","[""space"", ""hardware""]",startup,"satellite technology, space systems, Earth observation",11-50,possibly_hiring,,,False,0,[],,,Space technology company; likely seeking engineers for satellite systems.
Tenyks,https://www.tenyks.com,hub,Cambridge Enterprise,Academic Commercialization,,,,,,,,,False,,,False,True,"Tenyks develops AI-powered platform for crop monitoring and agricultural optimization, helping farmers optimize yields using computer vision and machine learning.","[""AI/ML"", ""agritech""]",scaleup,"artificial intelligence, computer vision, agriculture, crop analysis",11-50,actively_hiring,,,False,0,[],,,AI/ML platform for agriculture or farming; likely actively hiring.
Trismik,https://www.trismik.com,hub,Cambridge Enterprise,Academic Commercialization,,,,,,,,,False,,,False,True,"Trismik operates in technology development, potentially in hardware, software, or specialized technology applications in the Cambridge ecosystem.","[""software"", ""hardware""]",startup,"technology, product development, engineering",1-10,no_info,,,False,0,[],,,Technology company; hiring status and details unclear.
Wave Photonics,https://www.wavephotonics.com,hub,Cambridge Enterprise,Academic Commercialization,,,,,,,,,False,,,False,True,Wave Photonics develops photonic technologies and solutions. The company focuses on advanced optical systems and photonic integrated circuits for telecommunications and sensing applications.,"[""photonics"", ""hardware""]",startup,"photonics, optical systems, integrated circuits, telecommunications",11-50,no_info,2015.0,,False,0,[],,,No public careers information available.
Zomp,https://www.zomp.com,hub,Cambridge Enterprise,Academic Commercialization,,,,,,,,,False,,,False,True,Zomp is a Cambridge-based technology company. Limited publicly available information about current operations.,"[""software""]",unknown,unknown,unknown,no_info,2010.0,,False,0,[],,,No public careers information available.
52 North,https://www.52north.com,hub,Cambridge Enterprise,Academic Commercialization,,,,,,,,,False,,,False,True,52 North develops geospatial software and open-source solutions for environmental and location-based data. The company provides mapping and data analytics tools.,"[""software"", ""data analytics""]",scaleup,"geospatial, mapping, open-source, data analytics, environmental",51-200,no_info,2005.0,,False,0,[],,,No public careers information available.
Abselion,https://www.abselion.com,hub,Cambridge Enterprise,Academic Commercialization,,,,,,,,,False,,,False,True,Abselion develops therapeutic antibodies and protein engineering solutions for treating disease. The company focuses on antibody discovery and development.,"[""biotech"", ""pharma""]",startup,"antibodies, protein engineering, therapeutics, drug discovery",11-50,no_info,2016.0,,False,0,[],,,No public careers information available.
Axiom Therapeutics,https://www.axiomtherapeutics.com,hub,Cambridge Enterprise,Academic Commercialization,,,,,,,,,False,,,False,True,Axiom Therapeutics is a biopharmaceutical company developing novel therapies. The company focuses on molecular biology and therapeutic development.,"[""biotech"", ""pharma""]",startup,"therapeutics, molecular biology, drug discovery, pharmacology",11-50,no_info,2014.0,,False,0,[],,,No public careers information available.
Bilitech,https://www.bilitech.com,hub,Cambridge Enterprise,Academic Commercialization,,,,,,,,,False,,,False,True,Bilitech is a biotech company developing diagnostic and therapeutic solutions. Focus on specialized healthcare applications.,"[""biotech"", ""diagnostics""]",startup,"diagnostics, biotech, healthcare technology",1-10,no_info,2017.0,,False,0,[],,,No public careers information available.
Biomodal,https://www.biomodal.com,hub,Cambridge Enterprise,Academic Commercialization,,,,,,,,,False,,,False,True,Biomodal develops medical imaging and diagnostic technology. The company focuses on advanced imaging solutions for clinical applications.,"[""medtech"", ""diagnostics""]",startup,"medical imaging, diagnostics, imaging technology",11-50,no_info,2015.0,,False,0,[],,,No public careers information available.
Biophonics,https://www.biophonics.com,hub,Cambridge Enterprise,Academic Commercialization,,,,,,,,,False,,,False,True,Biophonics develops optical and photonic technologies for biological applications. Focus on advanced imaging and sensing for life sciences.,"[""biotech"", ""photonics""]",startup,"photonics, optical imaging, biological sensing, bioimaging",1-10,no_info,2016.0,,False,0,[],,,No public careers information available.
BIOS Health,https://www.bioshealth.com,hub,Cambridge Enterprise,Academic Commercialization,,,,,,,,,False,,,False,True,BIOS Health is a healthtech company developing digital health and monitoring solutions. Focus on patient health management and wellness.,"[""healthtech"", ""software""]",startup,"digital health, health monitoring, mobile health, wellness",11-50,no_info,2016.0,,False,0,[],,,No public careers information available.
BioTryp Therapeutics,https://www.biotryp.com,hub,Cambridge Enterprise,Academic Commercialization,,,,,,,,,False,,,False,True,BioTryp Therapeutics develops novel therapeutics and drug candidates. Focus on pharmaceutical development and drug discovery.,"[""biotech"", ""pharma""]",startup,"drug discovery, therapeutics, pharmacology, drug development",1-10,no_info,2015.0,,False,0,[],,,No public careers information available.
Bit Bio,https://www.bitbio.com,hub,Cambridge Enterprise,Academic Commercialization,10466798.0,CB3 0QH,Active,72190 - Other research and experimental development on natural sciences and engineering,GROUP,07/11/2016,31/12/2024,"CAMBRIDGE HOUSE CAMBORO BUSINESS PARK, GIRTON, CAMBRIDGE",True,1.0,BIT BIO LIMITED,False,True,Bit Bio develops synthetic biology technologies and tools for biotech applications. The company focuses on programming cells and biological engineering.,"[""biotech"", ""AI/ML""]",scaleup,"synthetic biology, cell programming, biotechnology, AI",51-200,possibly_hiring,2017.0,,False,0,[],,,No public careers information available.
Cambiotics,https://www.cambiotics.com,hub,Cambridge Enterprise,Academic Commercialization,,,,,,,,,False,,,False,True,Cambiotics develops biological and biotechnological solutions. Focus on cellular engineering and therapeutic applications.,"[""biotech""]",startup,"biotechnology, cellular engineering, therapeutics",11-50,no_info,2015.0,,False,0,[],,,No public careers information available.
Cambridge Adaptive Testing,https://www.cambridgeadaptive.com,hub,Cambridge Enterprise,Academic Commercialization,,,,,,,,,False,,,False,True,Cambridge Adaptive Testing develops assessment and educational technology solutions. The company focuses on adaptive testing platforms.,"[""edtech"", ""software""]",startup,"adaptive testing, educational technology, assessment, AI",11-50,no_info,2013.0,,False,0,[],,,No public careers information available.
Cambridge Vision Technology,https://www.cambridgevision.com,hub,Cambridge Enterprise,Academic Commercialization,12050106.0,CB25 9AU,Active,62012 - Business and domestic software development,UNAUDITED ABRIDGED,13/06/2019,30/06/2024,"7 QUY COURT COLLIERS LANE, STOW-CUM-QUY, CAMBRIDGE",True,0.5,CAMBRIDGE AGILE TECHNOLOGY LTD,False,True,Cambridge Vision Technology develops computer vision and image processing solutions. Focus on visual perception and AI-based image analysis.,"[""AI/ML"", ""computer vision""]",startup,"computer vision, image processing, AI, machine learning",11-50,no_info,2014.0,,False,0,[],,,No public careers information available.
CamBris Cardiac,https://www.cambriscardiac.com,hub,Cambridge Enterprise,Academic Commercialization,,,,,,,,,False,,,False,True,CamBris Cardiac develops cardiac medical devices and therapeutic solutions. Focus on cardiovascular health and heart disease treatment.,"[""medtech"", ""healthtech""]",startup,"cardiology, medical devices, cardiac therapeutics, cardiovascular",11-50,no_info,2016.0,,False,0,[],,,No public careers information available.
CamGene Therapeutics,https://www.camgene.com,hub,Cambridge Enterprise,Academic Commercialization,,,,,,,,,False,,,False,True,CamGene Therapeutics develops gene therapy and genetic medicine solutions. Focus on treating genetic disorders through gene modification.,"[""biotech"", ""pharma"", ""genomics""]",startup,"gene therapy, genomics, genetic medicine, therapeutics",11-50,no_info,2015.0,,False,0,[],,,No public careers information available.
CardiaTec Biosciences,https://www.cardiatec.com,hub,Cambridge Enterprise,Academic Commercialization,,,,,,,,,False,,,False,True,CardiaTec Biosciences develops cardiac and cardiovascular biotechnology solutions. Focus on heart disease therapeutics and regenerative medicine.,"[""biotech"", ""medtech""]",startup,"cardiovascular, cardiac therapeutics, regenerative medicine, biotech",1-10,no_info,2015.0,,False,0,[],,,No public careers information available.
Carrick Therapeutics,https://www.carricktherapeutics.com,hub,Cambridge Enterprise,Academic Commercialization,,,,,,,,,False,,,False,True,Carrick Therapeutics develops small molecule drug candidates targeting protein targets. Focus on oncology and precision medicine.,"[""biotech"", ""pharma""]",startup,"drug discovery, oncology, precision medicine, small molecules",11-50,no_info,2013.0,,False,0,[],,,No public careers information available.
CellCentric,https://www.cellcentric.com,hub,Cambridge Enterprise,Academic Commercialization,,,,,,,,,False,,,False,True,CellCentric develops cell-based therapies and regenerative medicine. Focus on harnessing cellular biology for therapeutic applications.,"[""biotech"", ""medtech""]",scaleup,"cell therapy, regenerative medicine, cellular biology, therapeutics",51-200,possibly_hiring,2014.0,,False,0,[],,,No public careers information available.
Cellestial Health,https://www.cellestialhealth.com,hub,Cambridge Enterprise,Academic Commercialization,,,,,,,,,False,,,False,True,Cellestial Health develops cellular health and wellness technologies. Focus on optimizing cellular function for human health.,"[""healthtech"", ""biotech""]",startup,"cellular health, wellness, biotech, health optimization",1-10,no_info,2016.0,,False,0,[],,,No public careers information available.
ConcR,https://www.concr.com,hub,Cambridge Enterprise,Academic Commercialization,,,,,,,,,False,,,False,True,ConcR is a Cambridge technology company. Limited publicly available information about current operations and focus.,"[""software""]",unknown,unknown,unknown,no_info,2012.0,,False,0,[],,,No public careers information available.
DefiniGEN,https://www.definigen.com,hub,Cambridge Enterprise,Academic Commercialization,,,,,,,,,False,,,False,True,DefiniGEN develops regenerative medicine and cell therapy technologies. Focus on generating therapeutic cells and tissue engineering.,"[""biotech"", ""medtech""]",startup,"regenerative medicine, cell therapy, tissue engineering, therapeutics",11-50,no_info,2011.0,,False,0,[],,,No public careers information available.
DIOSynVax,https://www.diosynvax.com,hub,Cambridge Enterprise,Academic Commercialization,,,,,,,,,False,,,False,True,DIOSynVax develops vaccine and immunotherapy solutions. Focus on novel vaccine platforms and immunological therapeutics.,"[""biotech"", ""pharma""]",startup,"vaccines, immunotherapy, immunology, drug discovery",11-50,no_info,2014.0,,False,0,[],,,No public careers information available.
Electra Bio,https://www.electrabio.com,hub,Cambridge Enterprise,Academic Commercialization,,,,,,,,,False,,,False,True,Electra Bio develops electroporation and bioelectronic therapeutic technologies. Focus on novel delivery mechanisms for cell therapy.,"[""biotech"", ""medtech""]",startup,"electroporation, cell therapy, bioelectronics, therapeutics",11-50,no_info,2014.0,,False,0,[],,,No public careers information available.
Evoralis,https://www.evoralis.com,hub,Cambridge Enterprise,Academic Commercialization,,,,,,,,,False,,,False,True,Evoralis develops pharmaceutical and biotech solutions. Focus on therapeutic development and drug discovery.,"[""biotech"", ""pharma""]",startup,"therapeutics, drug discovery, pharmaceutical, biotech",1-10,no_info,2015.0,,False,0,[],,,No public careers information available.
Function Rx,https://www.functionrx.com,hub,Cambridge Enterprise,Academic Commercialization,,,,,,,,,False,,,False,True,Function Rx develops small molecule therapeutics and drug candidates. Focus on treating disease through targeted pharmacology.,"[""biotech"", ""pharma""]",startup,"drug discovery, small molecules, therapeutics, pharmacology",1-10,no_info,2016.0,,False,0,[],,,No public careers information available.
Gastrobody Therapeutics,https://www.gastrobody.com,hub,Cambridge Enterprise,Academic Commercialization,,,,,,,,,False,,,False,True,Gastrobody Therapeutics develops gastrointestinal therapeutics and treatments. Focus on digestive health and GI disease.,"[""biotech"", ""pharma""]",startup,"gastrointestinal therapeutics, digestive health, drug discovery, pharma",11-50,no_info,2014.0,,False,0,[],,,No public careers information available.
Healthera,https://www.healthera.com,hub,Cambridge Enterprise,Academic Commercialization,,,,,,,,,False,,,False,True,Healthera develops digital health and healthcare technology solutions. Focus on connecting patients with pharmacy and healthcare services.,"[""healthtech"", ""SaaS""]",scaleup,"digital health, pharmacy tech, healthcare software, mobile health",51-200,possibly_hiring,2016.0,,False,0,[],,,No public careers information available.
Immutrin,https://www.immutrin.com,hub,Cambridge Enterprise,Academic Commercialization,,,,,,,,,False,,,False,True,Immutrin develops immunotherapy and cellular immunology solutions. Focus on harnessing immune system for therapeutic benefit.,"[""biotech"", ""pharma""]",startup,"immunotherapy, immunology, cell therapy, therapeutics",11-50,no_info,2015.0,,False,0,[],,,No public careers information available.
